t_ms (ms),ax (G),ay (G),az (G),gx (°/s),gy (°/s),gz (°/s),temp_c (°C),lap,gps_lat (°),gps_lon (°),gps_speed_kmh (km/h),gps_alt_m (m),gps_sats,gps_hdop,kf_x (m),kf_y (m),kf_vel (m/s),kf_heading (rad),raw_ax (G),raw_ay (G),raw_az (G),raw_gx (°/s),raw_gy (°/s),raw_gz (°/s),kf6_x (m),kf6_y (m),kf6_vel (m/s),kf6_heading (rad),kf6_bgz (rad/s)
5296,0.00004,-0.00000,-0.00002,-0.00059,-0.00026,-0.00043,45.6,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00000,-0.00000,0.00014,-0.00000,0.00073,-0.00001,-0.00032,-0.00978,-0.00440,-0.00717,0.00000,-0.00000,0.00014,-0.00000,0.00000
5316,0.00025,-0.00000,-0.00001,-0.00108,0.00099,-0.00418,45.6,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00001,-0.00000,0.00083,-0.00002,0.00349,-0.00006,0.00020,-0.00872,0.02056,-0.06286,0.00001,-0.00000,0.00083,-0.00002,0.00000
5336,0.00009,0.00001,0.00005,-0.00520,0.00216,-0.00777,45.6,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00002,-0.00000,0.00035,-0.00005,-0.00244,0.00025,0.00094,-0.06975,0.02056,-0.06403,0.00002,-0.00000,0.00035,-0.00005,0.00000
5356,0.00006,0.00001,0.00009,-0.00907,0.00326,-0.01114,45.7,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00003,0.00000,0.00027,-0.00007,-0.00040,0.00001,0.00070,-0.06975,0.02056,-0.06403,0.00003,0.00000,0.00027,-0.00007,0.00000
5376,0.00008,0.00001,0.00011,-0.00908,0.00764,-0.01275,45.6,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00004,0.00000,0.00034,-0.00008,0.00038,-0.00006,0.00041,-0.00920,0.07626,-0.03792,0.00004,0.00000,0.00034,-0.00008,0.00000
5396,0.00025,0.00010,0.00009,-0.00906,0.00842,-0.01576,45.7,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00000,0.00000,0.00000,0.00000,0.00296,0.00157,-0.00023,-0.00872,0.02056,-0.06286,0.00000,0.00000,0.00000,0.00000,0.00000
5416,0.00024,0.00010,0.00004,-0.01642,0.00765,-0.01538,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,-0.00000,0.00000,0.00001,-0.00000,-0.00002,0.00003,-0.00072,-0.13183,-0.00440,-0.00949,-0.00000,0.00000,0.00001,-0.00000,0.00000
5436,0.00031,0.00009,-0.00002,-0.01602,0.00693,-0.01489,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00000,0.00000,0.00029,-0.00001,0.00148,-0.00007,-0.00096,-0.00978,-0.00440,-0.00717,0.00000,0.00000,0.00029,-0.00001,0.00000
5456,0.00024,-0.00001,-0.00002,-0.01925,0.00774,-0.01784,45.7,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,-0.00000,0.00031,-0.00003,-0.00091,-0.00142,-0.00007,-0.06975,0.02056,-0.06403,0.00001,-0.00000,0.00031,-0.00003,0.00000
5476,0.00027,0.00012,0.00003,-0.02600,0.00702,-0.01734,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,-0.00000,0.00030,-0.00003,0.00086,0.00211,0.00093,-0.13183,-0.00440,-0.00949,0.00001,-0.00000,0.00030,-0.00003,0.00000
5496,0.00024,0.00009,0.00013,-0.02500,0.00299,-0.01822,45.7,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,-0.00000,0.00020,-0.00004,-0.00032,-0.00045,0.00156,-0.00931,-0.06010,-0.03212,0.00001,-0.00000,0.00020,-0.00004,-0.00000
5516,0.00021,0.00013,0.00016,-0.02776,-0.00564,-0.01728,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00000,0.00024,-0.00004,-0.00029,0.00082,0.00069,-0.07092,-0.14075,-0.00253,0.00001,0.00000,0.00024,-0.00004,-0.00000
5536,0.00022,0.00014,0.00021,-0.02675,-0.01524,-0.01299,45.7,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00001,0.00033,-0.00002,0.00042,0.00022,0.00094,-0.01095,-0.16570,0.05432,0.00001,0.00001,0.00033,-0.00002,-0.00000
5556,0.00019,0.00014,0.00016,-0.02574,-0.02277,-0.01229,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00002,0.00001,0.00033,-0.00003,-0.00025,0.00020,-0.00054,-0.00989,-0.14075,-0.00137,0.00002,0.00001,0.00033,-0.00003,-0.00000
5576,0.00010,0.00023,0.00011,-0.02124,-0.02466,-0.00523,45.7,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00002,0.00002,0.00059,0.00001,-0.00125,0.00156,-0.00075,0.04912,-0.05430,0.10537,0.00002,0.00002,0.00059,0.00001,-0.00000
5596,0.00015,0.00011,0.00003,-0.01687,-0.02679,-0.00677,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00001,0.00022,0.00000,0.00094,-0.00172,-0.00121,0.05172,-0.06010,-0.03096,0.00001,0.00001,0.00022,0.00000,-0.00000
5616,0.00006,0.00011,0.00001,-0.01648,-0.03028,-0.00495,45.7,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00002,0.00030,0.00001,-0.00138,0.00013,-0.00024,-0.01037,-0.08505,0.02357,0.00001,0.00002,0.00030,0.00001,-0.00000
5636,0.00010,0.00022,-0.00007,-0.01614,-0.03023,-0.00174,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00003,0.00062,0.00003,0.00066,0.00196,-0.00135,-0.01084,-0.02935,0.04852,0.00001,0.00003,0.00062,0.00003,-0.00000
5656,0.00009,0.00020,-0.00009,-0.01939,-0.03202,-0.00364,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00004,0.00060,0.00001,-0.00007,-0.00014,-0.00032,-0.07033,-0.06010,-0.03328,0.00001,0.00004,0.00060,0.00001,-0.00000
5676,0.00030,0.00019,-0.00005,-0.02242,-0.03705,-0.00691,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00005,0.00086,-0.00001,0.00361,-0.00004,0.00053,-0.06986,-0.11580,-0.05823,0.00001,0.00005,0.00086,-0.00001,-0.00000
5696,0.00015,0.00015,-0.00010,-0.02157,-0.03693,-0.01176,45.7,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00003,0.00043,-0.00004,-0.00226,-0.00044,-0.00093,-0.00825,-0.03515,-0.08781,0.00001,0.00003,0.00043,-0.00004,-0.00000
5716,0.00014,0.00014,-0.00015,-0.02073,-0.03199,-0.01817,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00001,0.00004,0.00043,-0.00008,-0.00000,0.00000,-0.00088,-0.00766,0.04551,-0.11856,0.00001,0.00004,0.00043,-0.00008,-0.00000
5736,0.00024,0.00016,-0.00017,-0.02361,-0.02734,-0.02427,45.7,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00002,0.00005,0.00072,-0.00012,0.00193,0.00044,-0.00057,-0.06869,0.04551,-0.11972,0.00002,0.00005,0.00072,-0.00012,-0.00000
5756,0.00032,0.00004,-0.00016,-0.02641,-0.02112,-0.02515,45.6,0,45.4512612,8.6521328,0.00,143.89,36,0.40,0.00003,0.00005,0.00085,-0.00013,0.00156,-0.00183,0.00001,-0.07022,0.07626,-0.03908,0.00003,0.00005,0.00085,-0.00013,-0.00000
5776,0.00034,0.00010,-0.00017,-0.02540,-0.01194,-0.02442,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00003,0.00003,0.00092,-0.00014,0.00060,0.00101,-0.00033,-0.00967,0.13196,-0.01297,0.00003,0.00003,0.00092,-0.00014,0.00000
5796,0.00032,0.00001,-0.00015,-0.02816,-0.00814,-0.02196,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00003,0.00002,0.00083,-0.00013,-0.00003,-0.00130,0.00014,-0.07128,0.05131,0.01661,0.00003,0.00002,0.00083,-0.00013,0.00000
5816,0.00034,0.00010,-0.00010,-0.03065,-0.00642,-0.02448,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00005,0.00002,0.00099,-0.00015,0.00068,0.00146,0.00082,-0.06975,0.02056,-0.06403,0.00005,0.00002,0.00099,-0.00015,0.00000
5836,0.00031,0.00004,-0.00008,-0.02940,-0.00630,-0.02345,45.7,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00007,0.00003,0.00093,-0.00016,-0.00019,-0.00080,0.00020,-0.00978,-0.00440,-0.00717,0.00007,0.00003,0.00093,-0.00016,0.00000
5856,0.00025,0.00020,-0.00003,-0.03195,-0.00768,-0.01920,45.7,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00008,0.00003,0.00100,-0.00014,-0.00058,0.00258,0.00077,-0.07187,-0.02935,0.04736,0.00008,0.00003,0.00100,-0.00014,0.00000
5876,0.00024,0.00014,0.00001,-0.03065,-0.01232,-0.01663,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00006,0.00003,0.00081,-0.00013,0.00004,-0.00074,0.00053,-0.01037,-0.08505,0.02357,0.00006,0.00003,0.00081,-0.00013,0.00000
5896,0.00017,0.00015,0.00005,-0.04030,-0.02187,-0.02076,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00006,0.00003,0.00062,-0.00016,-0.00093,0.00031,0.00079,-0.19143,-0.17150,-0.08549,0.00006,0.00003,0.00062,-0.00016,0.00000
5916,0.00015,-0.00002,0.00005,-0.04211,-0.03235,-0.02117,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00006,0.00003,0.00044,-0.00017,-0.00022,-0.00271,-0.00010,-0.07044,-0.19645,-0.02748,0.00006,0.00003,0.00044,-0.00017,0.00000
5936,0.00016,-0.00007,0.00003,-0.04018,-0.03885,-0.01998,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00007,0.00003,0.00057,-0.00017,0.00042,-0.00081,-0.00022,-0.00989,-0.14075,-0.00137,0.00007,0.00003,0.00057,-0.00017,0.00000
5956,0.00008,-0.00000,-0.00000,-0.04205,-0.04162,-0.01743,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00008,0.00002,0.00026,-0.00016,-0.00128,0.00100,-0.00048,-0.07139,-0.08505,0.02241,0.00008,0.00002,0.00026,-0.00016,0.00000
5976,0.00017,-0.00009,-0.00006,-0.04378,-0.04757,-0.01654,45.7,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00009,0.00002,0.00068,-0.00017,0.00158,-0.00152,-0.00094,-0.07092,-0.14075,-0.00253,0.00009,0.00002,0.00068,-0.00017,0.00000
5996,0.00017,-0.00009,-0.00007,-0.04535,-0.05167,-0.01904,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00007,0.00001,0.00063,-0.00019,0.00012,-0.00010,-0.00031,-0.06986,-0.11580,-0.05823,0.00007,0.00001,0.00063,-0.00019,0.00000
6016,0.00009,0.00007,-0.00017,-0.04318,-0.05217,-0.01983,45.6,0,45.4512612,8.6521328,0.02,143.89,36,0.40,0.00007,0.00000,0.00031,-0.00020,-0.00105,0.00266,-0.00178,-0.00931,-0.06010,-0.03212,0.00007,0.00000,0.00031,-0.00020,0.00000
